Puzzle,Solution,Execution Time,Zeros,Guesses,Backtracks
207408609100090007000070000370602098600000001580719063800524006005060800906837102,237458619158296347469173285371642598694385721582719463813524976725961834946837152,0.09614200005307794,41,3081,3040
257000439300000006160000082400603005003912800090040010601537908000821000085090320,257168439348259176169374582412683795573912864896745213621537948934821657785496321,0.02148330002091825,42,136,94
000374089008100400470086003030000048507640391090000052820067005003900200000231074,216374589358129467479586123132795648587642391694813752821467935743958216965231874,0.07401050004409626,42,2625,2583
208369407600154003500278006004000800305080702780010045400000008052000630060843020,218369457679154283543278196124537869395486712786912345431625978852791634967843521,0.04108270001597703,41,1033,992
468051739100000600000670012084030060315406007097080040000910074900000300753064291,468251739172349658539678412284137965315496827697582143826913574941725386753864291,0.03801129997009411,39,764,725
146000598207000304389000127400060002600872001002010900000643000060589040930020085,146237598257198364389456127413965872695872431872314956528643719761589243934721685,0.02843800000846386,41,455,414
147903268000000000309070105410060089603000401095080630000534000500692003030010020,147953268258146397369278145412365789683729451795481632821534976574692813936817524,0.18231379997450858,43,7309,7266
040096580000007009300208174010000948800000007934000060481605003600700000073140020,147396582258417639369258174716532948825964317934871265481625793692783451573149826,0.04229509999277070,45,1054,1009
307165209200394006000278000012000860803000402490080035600000008784000523030020040,347165289258394716169278354512439867873651492496782135621543978784916523935827641,0.03110309998737648,42,481,439
100238005200040006400679008002090600508020901690000052700000004835402179046010520,167238495289145736453679218312594687578326941694781352721953864835462179946817523,0.06054320000112057,41,1813,1772
100458002200109003009237100000684000600395008890010064021000730940000021760020085,136458972257169843489237156312684597674395218895712364521846739948573621763921485,0.03700099996058270,41,899,858
340080019100040002009107300000623000603794105790010036401000603935000278870000041,347286519158349762269157384514623897683794125792815436421978653935461278876532941,0.03125060000456870,40,598,558
125030489300109007000000000201070804700491006090080070512000748907000602860725013,125637489348159267679248135251376894783491526496582371512963748937814652864725913,0.02223709999816492,40,124,84
037140560108006004460570008010000290904007685080000430590730006601009003073650910,237148569158296374469573128316485297924317685785962431592731846641829753873654912,0.02546699997037649,39,268,229
030000208248100076069270003610380000000000000000092014900043860350007921806000030,137456298248139576569278143612384759493715682785692314921543867354867921876921435,0.07915609999326989,45,2904,2859
130200450000300008809070013460105000003080100000704032320040906600003000085009041,136298457247351698859476213462135879573982164918764532321547986694813725785629341,0.12962090002838522,46,5167,5121
107246500000010400000078020302400956080000070794005208020890000003050000005762801,137246589258319467469578123312487956586921374794635218621893745873154692945762831,0.08681290003005415,45,2981,2936
250160800160000702009008040400600908020080030905003001040700600702000014006014027,254167893168349752379258146413625978627981435985473261541732689732896514896514327,0.13464920001570135,46,5062,5016
