Puzzle,Solution,Execution Time,Zeros,Guesses,Backtracks
207408609100090007000070000370602098600000001580719063800524006005060800906837102,237458619158296347469173285371642598694385721582719463813524976725961834946837152,0.20865470002172515,41,3578,3537
257000439300000006160000082400603005003912800090040010601537908000821000085090320,257168439348259176169374582412683795573912864896745213621537948934821657785496321,0.18510889995377511,42,3691,3649
000374089008100400470086003030000048507640391090000052820067005003900200000231074,216374589358129467479586123132795648587642391694813752821467935743958216965231874,0.51612019998719916,42,12118,12076
208369407600154003500278006004000800305080702780010045400000008052000630060843020,218369457679154283543278196124537869395486712786912345431625978852791634967843521,0.24130380002316087,41,5983,5942
468051739100000600000670012084030060315406007097080040000910074900000300753064291,468251739172349658539678412284137965315496827697582143826913574941725386753864291,0.07072849996620789,39,205,166
146000598207000304389000127400060002600872001002010900000643000060589040930020085,146237598257198364389456127413965872695872431872314956528643719761589243934721685,0.11414000001968816,41,927,886
147903268000000000309070105410060089603000401095080630000534000500692003030010020,147953268258146397369278145412365789683729451795481632821534976574692813936817524,0.16681149997748435,43,3020,2977
040096580000007009300208174010000948800000007934000060481605003600700000073140020,147396582258417639369258174716532948825964317934871265481625793692783451573149826,1.38739560003159568,45,40921,40876
307165209200394006000278000012000860803000402490080035600000008784000523030020040,347165289258394716169278354512439867873651492496782135621543978784916523935827641,1.32131960004335269,42,40319,40277
100238005200040006400679008002090600508020901690000052700000004835402179046010520,167238495289145736453679218312594687578326941694781352721953864835462179946817523,0.18096619995776564,41,2836,2795
100458002200109003009237100000684000600395008890010064021000730940000021760020085,136458972257169843489237156312684597674395218895712364521846739948573621763921485,0.12800249998690560,41,2132,2091
340080019100040002009107300000623000603794105790010036401000603935000278870000041,347286519158349762269157384514623897683794125792815436421978653935461278876532941,0.26169490005122498,40,6355,6315
125030489300109007000000000201070804700491006090080070512000748907000602860725013,125637489348159267679248135251376894783491526496582371512963748937814652864725913,0.13267060002544895,40,2123,2083
037140560108006004460570008010000290904007685080000430590730006601009003073650910,237148569158296374469573128316485297924317685785962431592731846641829753873654912,0.12099720002152026,39,1695,1656
030000208248100076069270003610380000000000000000092014900043860350007921806000030,137456298248139576569278143612384759493715682785692314921543867354867921876921435,0.12066890002461150,45,1785,1740
130200450000300008809070013460105000003080100000704032320040906600003000085009041,136298457247351698859476213462135879573982164918764532321547986694813725785629341,1.19523769995430484,46,36587,36541
107246500000010400000078020302400956080000070794005208020890000003050000005762801,137246589258319467469578123312487956586921374794635218621893745873154692945762831,0.53172770002856851,45,14836,14791
250160800160000702009008040400600908020080030905003001040700600702000014006014027,254167893168349752379258146413625978627981435985473261541732689732896514896514327,3.17709199996897951,46,99703,99657
147306002250100000300200145410508607005062800820703504500800769670900000984605001,147356982258149376369287145413598627795462813826713594531824769672931458984675231,0.10608699999283999,37,1266,1229
200347096360000000009802000410500907080090010703006048000903800000000079940685001,258347196364159782179862435412538967586794213793216548621973854835421679947685321,0.09364179999101907,46,1036,990
347009028150000600200100435410685003005093800890417006700900584530000900986004012,347569128158342679269178435412685793675293841893417256721936584534821967986754312,0.07962390000466257,37,551,514
057208406400150070300060001210504000004000100000306049800020004040071003502603910,157238496468159372329467851213594687694782135785316249831925764946871523572643918,0.08305259997723624,45,733,688
006357928000000704300084005412500097083970050597800013700098006000000209004723581,146357928258619734379284165412536897683971452597842613725198346831465279964723581,0.12732209998648614,38,2131,2093
103207408460090037070030010300504009084912370090080040901653704800000001006000900,153267498468195237279438516312574869684912375597386142921653784835749621746821953,0.55768860003445297,42,15021,14979
206000308350000061190060027400503009002896100003070200600732004700010005839040712,246157398357289461198364527461523879572896143983471256615732984724918635839645712,0.21267209999496117,41,4784,4743
100098254408000000059400607300845000080000030000132008801009460000000705975360001,137698254468527319259413687312845976584976132796132548821759463643281795975364821,1.78861749998759478,45,55050,55005
207459601000000000069128470000296000050814020890070064600000008720080016980030042,237459681148367259569128473471296835356814927892573164613742598724985316985631742,0.09391930000856519,42,921,879
107254089392160400000070200200000070500802134900000020000030800635980700809627013,167254389392168457458379261213546978576892134984713625721435896635981742849627513,0.13131750002503395,41,2080,2039
100368009400259008080010050012080490504000802690724031900506003000000000046832910,157368249463259178289417356312685497574193862698724531921546783835971624746832915,0.11754429998109117,41,1774,1733
000629540200084600400005102070000039602000407380000050703800005005910004046253000,137629548259184673468375192571462839692538417384791256713846925825917364946253781,2.10387659998377785,45,65554,65509
007269030000540700350108006520000047674900385890000012410605009000890200005724060,147269538268543791359178426521386947674912385893457612412635879736891254985724163,0.13549630000488833,40,2242,2202
026154780108000304479080251200060008500709003090020040000070000000948000015030490,326154789158297364479386251231465978584719623697823145942571836763948512815632497,2.05299669998930767,44,61991,61947
246010097150200006309407105000040000470895061000020000501906803760300009938050072,246518397157239486389467125612743958473895261895621734521976843764382519938154672,0.19969069998478517,40,4064,4024
046030097002109008700000100060095073400802009590360010004000005900501300830040720,146238597352179468789654132261495873473812659598367214614723985927581346835946721,0.19539890001760796,45,4223,4178
002140860408250000170300004010000076605702341090000028520900007806570000007820630,352147869468259713179368254213485976685792341794613528521936487836574192947821635,0.19623130001127720,42,4296,4254
006280700207351009800400031010000096503008147070000023300700068704832005005140300,136289754247351689859467231412573896593628147678914523321795468764832915985146372,0.09689679997973144,41,1010,969
007348900300169007400050003070030080503000704690000021920504038706801405045090170,217348956358169247469257813172436589583912764694785321921574638736821495845693172,0.11872099997708574,40,1907,1867
150347620000068005000200040412070060675009203983010070000800030000034006830926750,159347628247168395368295147412573869675489213983612574796851432521734986834926751,0.15174070000648499,41,2808,2767
017259640000060000500748003030080060805906702290000034000315000150090076004627300,317259648428163597569748123731482965845936712296571834672315489153894276984627351,0.16318159998627380,42,3237,3195
004167290000340500100008034080003006702000401900700080610500009003081000095674100,354167298268349517179258634581423976732896451946715382617532849423981765895674123,0.40406050003366545,45,11256,11211
100234007040000030308000401421060398580020064009000200002040500030516070960872043,196234857247158639358697421421765398583921764679483215712349586834516972965872143,0.25633129995549098,41,5902,5861
207108309300629007060307050012000690500080001800090004021030780734805926980000013,247158369358629147169347852412573698593486271876291534621934785734815926985762413,0.10866309999255463,39,1480,1441
100058963000009057039600200370400008482036095690700001013500800000003019800014372,147258963268349157539671284371495628482136795695782431913527846724863519856914372,0.08554379997076467,40,687,647
230050097070060050581409236100000005860295041700804003000080000007521800900746002,236158497479362158581479236124637985863295741795814623612983574347521869958746312,0.14425469998968765,41,2606,2565
200300489450000070009400005600200104092060830803001002900005700030000058586007001,217356489458129673369478215675283194192564837843791562921835746734612958586947321,5.01614949997747317,46,162303,162257
300498002008153400009000310120800006485070031790300005001000980002739100900681003,317498652268153479549267318123845796485976231796312845631524987852739164974681523,0.27720700000645593,41,6881,6840
257010469160020075400060008300206007082090640000154000000030000043070250670000013,257318469168429375439567128314286597582793641796154832921635784843971256675842913,0.14607620000606403,44,2597,2553
200040005060159040450000013100000004580090062600512008001923500030671020006485700,217348695368159247459267813172836954583794162694512378741923586835671429926485731,0.25084599998081103,42,5884,5842
100357009050249070070000040501000706680070054400615008003060800014732960000891000,146357289358249671279186543531428796682973154497615328923564817814732965765891432,0.47717230004491284,42,12771,12729
300248679000050830080000200104500007738490026506700003010000700000010460800627391,351248679267159834489376215124563987738491526596782143612934758973815462845627391,0.82769669999834150,42,23331,23289
107246509050793060009050200302000906510389042700000001021000390000030000970625018,137246589258793164469158273382417956516389742794562831621874395845931627973625418,0.20667149999644607,41,4048,4007
206458709500030008080167020103000806060000010700306002601985204000040000870623051,216458739547239168389167425123574896465892317798316542631985274952741683874623951,0.26852769998367876,41,4991,4950
246100380100300007009060005530704000004080700000506013400030900900001004085002631,246157389158349267379268145532714896614983752897526413421635978963871524785492631,0.67509070003870875,46,18538,18492
160237089000149000009050300200306007690070021754010963002000600030504070800961005,165237489328149756479658312281396547693475821754812963512783694936524178847961235,0.06719269999302924,41,65,24
047103560100000009360070021510704096403865102000010000600357004000080000075902610,247193568158426739369578421512734896493865172786219345621357984934681257875942613,0.07949139998527244,42,566,524
086203479200100308300070052402500006063780900708400003600040097800900605075801234,186253479257194368349678152412539786563782941798416523621345897834927615975861234,0.10679910000180826,38,1190,1152
204571089000340200570068400300050006485600071700080004820036700000810900903725068,234571689168349257579268413312457896485692371796183524821936745657814932943725168,0.14510470000095665,39,2168,2129
307189500000035740000000810580000976090000050673000024014000000026850000005764201,347189562168235749259476813581342976492617358673598124714923685926851437835764291,0.94510260003153235,45,24524,24479
108000307560000081070080040300407008006592700005010400801935604900040005054020130,148256397569374281273189546312467958486592713795813462821935674937641825654728139,0.53750580002088100,43,10550,10507
106045789200007304400390001002780000584609000009530000700820005800006403903051872,136245789298167354457398621312784596584619237679532148741823965825976413963451872,0.27122980001149699,40,1998,1958
051400367308000004470500000137080050000604000090050872000002045700000601946005720,251498367368127594479536218137289456582674139694351872813762945725943681946815723,0.13171030004741624,45,1242,1197
240050019108209304509104602000040000480965031000010000003507400900030007756090123,247356819168279354539184672371842965482965731695713248813527496924631587756498123,1.00217400002293289,41,24230,24189
038000760170306089690000035200080001307592608009010200000935000900761004760020013,538149762172356489694278135256487391317592648849613257421935876983761524765824913,0.14337350003188476,41,2537,2496
100040009370000054409000701210050076500781002000462000040975030001020900700814005,165247389378196254429538761214359876536781492987462513642975138851623947793814625,2.89906490000430495,44,78733,78689
307251608000009042209000310410000006573096001890000007601000870000008059905742103,347251698158369742269487315412573986573896421896124537621935874734618259985742163,0.12105319998227060,41,1781,1740
