Puzzle,Solution,Execution Time,Zeros,Guesses,Backtracks
207408609100090007000070000370602098600000001580719063800524006005060800906837102,237458619158296347469173285371642598694385721582719463813524976725961834946837152,0.45994680002331734,41,13742,13701
257000439300000006160000082400603005003912800090040010601537908000821000085090320,257168439348259176169374582412683795573912864896745213621537948934821657785496321,0.11454370000865310,42,1782,1740
000374089008100400470086003030000048507640391090000052820067005003900200000231074,216374589358129467479586123132795648587642391694813752821467935743958216965231874,0.16668960003880784,42,3420,3378
208369407600154003500278006004000800305080702780010045400000008052000630060843020,218369457679154283543278196124537869395486712786912345431625978852791634967843521,0.34292329999152571,41,9722,9681
468051739100000600000670012084030060315406007097080040000910074900000300753064291,468251739172349658539678412284137965315496827697582143826913574941725386753864291,0.09422139998059720,39,737,698
146000598207000304389000127400060002600872001002010900000643000060589040930020085,146237598257198364389456127413965872695872431872314956528643719761589243934721685,0.15452869998989627,41,2931,2890
147903268000000000309070105410060089603000401095080630000534000500692003030010020,147953268258146397369278145412365789683729451795481632821534976574692813936817524,0.68473039998207241,43,22642,22599
040096580000007009300208174010000948800000007934000060481605003600700000073140020,147396582258417639369258174716532948825964317934871265481625793692783451573149826,0.78789229999529198,45,26547,26502
307165209200394006000278000012000860803000402490080035600000008784000523030020040,347165289258394716169278354512439867873651492496782135621543978784916523935827641,0.12740820000180975,42,2270,2228
100238005200040006400679008002090600508020901690000052700000004835402179046010520,167238495289145736453679218312594687578326941694781352721953864835462179946817523,0.21745910000754520,41,5547,5506
100458002200109003009237100000684000600395008890010064021000730940000021760020085,136458972257169843489237156312684597674395218895712364521846739948573621763921485,0.27943609998328611,41,7941,7900
340080019100040002009107300000623000603794105790010036401000603935000278870000041,347286519158349762269157384514623897683794125792815436421978653935461278876532941,0.13615929998923093,40,2875,2835
125030489300109007000000000201070804700491006090080070512000748907000602860725013,125637489348159267679248135251376894783491526496582371512963748937814652864725913,0.16560829995432869,40,3709,3669
037140560108006004460570008010000290904007685080000430590730006601009003073650910,237148569158296374469573128316485297924317685785962431592731846641829753873654912,0.09579270001268014,39,798,759
030000208248100076069270003610380000000000000000092014900043860350007921806000030,137456298248139576569278143612384759493715682785692314921543867354867921876921435,1.38798729999689385,45,49935,49890
130200450000300008809070013460105000003080100000704032320040906600003000085009041,136298457247351698859476213462135879573982164918764532321547986694813725785629341,0.22246190003352240,46,5741,5695
107246500000010400000078020302400956080000070794005208020890000003050000005762801,137246589258319467469578123312487956586921374794635218621893745873154692945762831,0.55421860003843904,45,18265,18220
250160800160000702009008040400600908020080030905003001040700600702000014006014027,254167893168349752379258146413625978627981435985473261541732689732896514896514327,2.32171359995845705,46,85887,85841
147306002250100000300200145410508607005062800820703504500800769670900000984605001,147356982258149376369287145413598627795462813826713594531824769672931458984675231,0.16136439994443208,37,3795,3758
200347096360000000009802000410500907080090010703006048000903800000000079940685001,258347196364159782179862435412538967586794213793216548621973854835421679947685321,0.56648650002898648,46,18296,18250
347009028150000600200100435410685003005093800890417006700900584530000900986004012,347569128158342679269178435412685793675293841893417256721936584534821967986754312,0.08076939999591559,37,580,543
057208406400150070300060001210504000004000100000306049800020004040071003502603910,157238496468159372329467851213594687694782135785316249831925764946871523572643918,0.31532710004830733,45,9284,9239
006357928000000704300084005412500097083970050597800013700098006000000209004723581,146357928258619734379284165412536897683971452597842613725198346831465279964723581,0.06954669998958707,38,127,89
103207408460090037070030010300504009084912370090080040901653704800000001006000900,153267498468195237279438516312574869684912375597386142921653784835749621746821953,0.23456760001135990,42,6351,6309
206000308350000061190060027400503009002896100003070200600732004700010005839040712,246157398357289461198364527461523879572896143983471256615732984724918635839645712,0.14063149999128655,41,2842,2801
100098254408000000059400607300845000080000030000132008801009460000000705975360001,137698254468527319259413687312845976584976132796132548821759463643281795975364821,0.59632910002255812,45,20461,20416
207459601000000000069128470000296000050814020890070064600000008720080016980030042,237459681148367259569128473471296835356814927892573164613742598724985316985631742,0.76249460002873093,42,26598,26556
